report_path,suite,benchmark,baseline_status,selected_status,policy_kind,selected_policy_fallback_reason,ct_stop_reason,q_explain_count,leak_cf,leak_ma,leak_other,secure_clauses_count,insecure_evidence_count,counterexamples_count,binsec_calls,binsec_timeouts,binsec_crashes,binsec_time_total,minibinsec_calls,evaluated_candidates,considered_candidates,pruned_total,pruned_consistency,pruned_ct_counterexample,pruned_necessary,estimated_runtime_s,q_explain_head,selected_policy,selected_policy_raw
Benchmarks/ct-select/bench_ct_select_naive.report.json,Benchmarks/ct-select,bench_ct_select_naive,INSECURE,INSECURE,CLAUSE,q_explain_head,max_clauses,1,1,0,0,8,1,210,259,0,0,13.822993516921997,5294,218,309,59,33,18,0,14.24523138999939,(-0x4(ebp) = 0x0),(-0x4(ebp) = 0x0),"(((@[0x080e3f50,1] <u 0x00) | (@[0x080e3f50,1] = 0x00))) | (((@[0x080e3f50,1] <u 0x01) | (@[0x080e3f50,1] = 0x01))) | (((@[0x080e3f50,1] = 0xff)))"
Benchmarks/ct-select/bench_ct_select_v1.report.json,Benchmarks/ct-select,bench_ct_select_v1,SECURE,SECURE,TRUE,,None,0,0,0,0,1,0,0,4,0,0,0.1963503360748291,0,0,0,0,0,0,0,0.0,,{true},
Benchmarks/ct-select/bench_ct_select_v2.report.json,Benchmarks/ct-select,bench_ct_select_v2,SECURE,SECURE,TRUE,,None,0,0,0,0,1,0,0,4,0,0,0.20718598365783691,0,0,0,0,0,0,0,0.0,,{true},
Benchmarks/ct-select/bench_ct_select_v3.report.json,Benchmarks/ct-select,bench_ct_select_v3,SECURE,SECURE,TRUE,,None,0,0,0,0,1,0,0,4,0,0,0.2015819549560547,0,0,0,0,0,0,0,0.0,,{true},
Benchmarks/ct-select/bench_ct_select_v4.report.json,Benchmarks/ct-select,bench_ct_select_v4,SECURE,SECURE,TRUE,,None,0,0,0,0,1,0,0,4,0,0,0.2064976692199707,0,0,0,0,0,0,0,0.0,,{true},
Benchmarks/ct-sort/bench_ct_sort.report.json,Benchmarks/ct-sort,bench_ct_sort,INSECURE,UNKNOWN,CLAUSE,q_explain_head,saturated,1,1,0,0,0,1,180,183,0,0,10.740579843521118,680,180,220,41,41,0,0,11.445399284362793,(eax >=s -0x8(ebp)),(eax >=s -0x8(ebp)),
Benchmarks/ct-sort/bench_ct_sort_multiplex.report.json,Benchmarks/ct-sort,bench_ct_sort_multiplex,INSECURE,UNKNOWN,CLAUSE,q_explain_head,saturated,1,1,0,0,0,1,180,183,0,0,10.919036388397217,680,180,220,41,41,0,0,11.627679586410522,(edx >=s eax),(edx >=s eax),
Benchmarks/ct-sort/bench_ct_sort_negative.report.json,Benchmarks/ct-sort,bench_ct_sort_negative,INSECURE,UNKNOWN,CLAUSE,q_explain_head,saturated,1,1,0,0,0,1,180,183,0,0,10.880856275558472,680,180,220,41,41,0,0,11.588506937026978,(eax >=s -0x8(ebp)),(eax >=s -0x8(ebp)),
Examples-CT/ct-and-window/1_insecure/candidate_8_insecure.report.json,Examples-CT/ct-and-window/1_insecure,candidate_8_insecure,INSECURE,INSECURE,CLAUSE,q_explain_head,max_clauses,1,1,1,0,14,1,309,387,0,0,20.881355047225952,11670,323,578,161,36,111,0,21.814969778060913,"((0xc & (((0xf & (@[0x080e3f60,4]))))) <> 0xc)","((0xc & (((0xf & (@[0x080e3f60,4]))))) <> 0xc)","(((@[0x080e3f60,4] <u 0x00000000) | (@[0x080e3f60,4] = 0x00000000))) | (((@[0x080e3f60,4] <u 0x00000001) | (@[0x080e3f60,4] = 0x00000001))) | (((@[0x080e3f60,4] = 0xffffffff)))"
Examples-CT/ct-asym-policy/1_insecure/candidate_4_insecure.report.json,Examples-CT/ct-asym-policy/1_insecure,candidate_4_insecure,INSECURE,SECURE,DNF,,saturated,1,1,1,0,1,1,24,62,0,0,3.3136165142059326,2969,29,49,7,2,5,0,3.4221479892730713,"((0xf & (@[0x080e3f4c,4])) >u 0xc)","{(@[0x080e3f4c,1] <u 0x0c) | (@[0x080e3f4c,1] = 0x0c)}",
